Phy_ID,sp_ID,Family,Subfamily,Tribe,Genus valid_imaged,Species valid_imaged,Scientific name valid_imaged,Number_of_host_families,PD,MPD,MNTD,DSI_MPD,DSI_MNTD
96,B_9343,Lycaenidae,Theclinae,Luciini,Lucia,limbaria,Lucia limbaria,4,631.815428,239.3387647,195.601102,-0.451928495,-1.397186975
97,B_4662,Lycaenidae,Theclinae,Candalidini,Candalides,geminus,Candalides geminus,1,325.0503145,89.0608,89.0608,-1.963716622,-2.980804127
98,B_9679,Lycaenidae,Theclinae,Zesiusini,Jalmenus,evagoras,Jalmenus evagoras,8,1136.183904,244.5388986,223.2146318,-0.571010157,-0.110800067
99,B_9685,Lycaenidae,Theclinae,Zesiusini,Pseudalmenus,chlorinda,Pseudalmenus chlorinda,8,1136.183904,244.5388986,223.2146318,-0.571010157,-0.110800067
100,B_4412,Lycaenidae,Lycaeninae,,Lycaena,helloides,Lycaena helloides,1,325.050152,88.9723,88.9723,-1.530500549,-1.940131511
101,B_4642,Lycaenidae,Miletinae,Spalgini,Spalgis,epeus,Spalgis epeus,NA,NA,NA,NA,NA,NA
102,B_4648,Lycaenidae,Miletinae,Tarakini,Taraka,hamada,Taraka hamada,NA,NA,NA,NA,NA,NA
103,B_4596,Lycaenidae,Miletinae,Miletini,Allotinus,unicolor,Allotinus unicolor,NA,NA,NA,NA,NA,NA
104,B_4474,Lycaenidae,Miletinae,Lachnocnemini,Lachnocnema,durbani,Lachnocnema durbani,NA,NA,NA,NA,NA,NA
105,B_4558,Lycaenidae,Liphyrinae,,Liphyra,brassolis,Liphyra brassolis,NA,NA,NA,NA,NA,NA
106,B_6825,Lycaenidae,Lipteninae,Pentilini,Pentila,pauli,Pentila pauli,NA,NA,NA,NA,NA,NA
107,B_6534,Lycaenidae,Lipteninae,Liptenini,Liptena,rochei,Liptena rochei,NA,NA,NA,NA,NA,NA
108,B_6423,Lycaenidae,Lipteninae,Epitolini,Hewitsonia,boisduvalii,Hewitsonia boisduvalii,NA,NA,NA,NA,NA,NA
109,B_6905,Lycaenidae,Poritiinae,Poritiini,Poritia,erycinoides,Poritia erycinoides,1,325.050645,76.7222,76.7222,-2.394140677,-1.80105635
110,B_7152,Lycaenidae,Aphnaeinae,,Cigaritis,lohita,Cigaritis lohita,2,443.629595,237.157303,237.157303,-0.442655008,-0.327057586
111,B_4341,Lycaenidae,Curetinae,,Curetis,tagalica,Curetis tagalica,1,325.050502,192,192,-0.773400109,-0.886740072
112,B_18829,Riodinidae,Riodininae,Riodinini,Baeotis,zonata,Baeotis zonata,1,325.050502,192,192,-0.773400109,-0.886740072
113,B_19068,Riodinidae,Riodininae,Riodinini,Riodina,lysippus,Riodina lysippus,1,325.050502,192,192,-0.773400109,-0.886740072
114,B_18242,Riodinidae,Riodininae,Helicopini,Sarota,gamelia,Sarota gamelia,5,808.030247,248.7323168,238.2723574,-0.443259,-0.105540557
115,B_18228,Riodinidae,Riodininae,Helicopini,Helicopis,cupido,Helicopis cupido,5,808.030247,248.7323168,238.2723574,-0.443259,-0.105540557
116,B_19143,Riodinidae,Riodininae,Symmachiini,Mesene,phareus,Mesene phareus,4,680.066015,240.3545748,233.8584608,-0.47018203,-0.319054349
117,B_19262,Riodinidae,Riodininae,Emesidini,Apodemia,hypoglauca,Apodemia hypoglauca,2,437.752192,225.403265,212.8114587,-0.920029075,-0.516932651
118,B_18769,Riodinidae,Riodininae,Nymphidiini,Theope,virgilius,Theope virgilius,1,325.0505765,157.8962,157.8962,-1.196828641,-1.213141732
119,B_18607,Riodinidae,Riodininae,Nymphidiini,Nymphidium,onaeum,Nymphidium onaeum,1,325.0505765,157.8962,157.8962,-1.196828641,-1.213141732
120,B_19090,Riodinidae,Riodininae,Stalachtini,Stalachtis,euterpe,Stalachtis euterpe,NA,NA,NA,NA,NA,NA
121,B_19331,Riodinidae,Riodininae,Calydnini,Calydna,nicolayi,Calydna nicolayi,1,325.050922,90.7909,90.7909,-1.802280792,-1.881276255
122,,Riodinidae,Riodininae,Dianesiini,Dianesia,carteri,Dianesia carteri,2,437.752392,225.40331,225.40331,-0.54776928,-0.490744864
123,B_18443,Riodinidae,Riodininae,Eurybiini,Semomesia,capanea,Semomesia capanea,1,325.050502,99.499,99.499,-3.401095768,-1.627869293
124,B_18341,Riodinidae,Riodininae,Eurybiini,Mesosemia,lamachus,Mesosemia lamachus,1,325.050502,99.499,99.499,-3.401095768,-1.627869293
125,B_19432,Riodinidae,Riodininae,Eurybiini,Eurybia,nicaeus,Eurybia niceus,1,325.050502,99.499,99.499,-3.401095768,-1.627869293
126,B_18055,Riodinidae,Nemeobiinae,Nemeobiini,Abisara,echerius,Abisara echerius,1,325.050484,188,188,-1.029242829,-0.831371958
127,B_18152,Riodinidae,Nemeobiinae,Nemeobiini,Hamearis,lucina,Hamearis lucina,1,325.050484,188,188,-1.029242829,-0.831371958
128,B_17931,Riodinidae,Nemeobiinae,Euselasiini,Euselasia,euromus,Euselasia euromus,3,584.696818,263.705832,255.5867947,0.02783593,-0.01735931
129,B_17743,Pieridae,Pierinae,Pierini,Pontia,beckerii,Pontia beckerii,5,720.074355,216.9971398,186.4528612,-0.889321106,-1.509395202
130,B_17149,Pieridae,Pierinae,Pierini,Ascia,monuste,Ascia monuste,5,720.074355,216.9971398,186.4528612,-0.889321106,-1.509395202
131,B_17691,Pieridae,Pierinae,Pierini,Neophasia,terlooii,Neophasia terlooii,5,720.074355,216.9971398,186.4528612,-0.889321106,-1.509395202
132,B_17124,Pieridae,Pierinae,Pierini,Appias,libythea,Appias libythea,5,720.074355,216.9971398,186.4528612,-0.889321106,-1.509395202
133,B_17014,Pieridae,Pierinae,Elodinini,Elodina,angulipennis,Elodina angulipennis,1,325.050465,138.5406,138.5406,-1.496873134,-1.391882353
134,B_16991,Pieridae,Pierinae,Anthocharidini,Hebomoia,glaucippe,Hebomoia glaucippe,2,406.651495,163.20188,163.20188,-1.319554817,-1.052873961
135,B_16949,Pieridae,Pierinae,Anthocharidini,Anthocharis,belia,Anthocharis belia,2,406.651495,163.20188,163.20188,-1.319554817,-1.052873961
136,B_17052,Pieridae,Pierinae,Nepheronini,Nepheronia,pharis,Nepheronia pharis,1,325.050465,138.5406,138.5406,-1.496873134,-1.391882353
137,B_17046,Pieridae,Pierinae,Leptosianini,Leptosia,nina,Leptosia nina,2,448.784785,247.469241,247.469241,-0.255545426,-0.327291437
138,B_17817,Pieridae,Pierinae,Teracolini,Colotis,hetaera,Colotis hetaera,1,325.050465,138.5406,138.5406,-1.496873134,-1.391882353
139,B_17865,Pieridae,Pseudopontiinae,,Pseudopontia,paradoxa,Pseudopontia paradoxa,1.5,385.74303,147.548024,147.548024,-1.280242265,-1.345321383
140,B_16710,Pieridae,Coliadinae,,Colias,eurytheme,Colias eurytheme,1,325.050502,192,192,-0.773400109,-0.886740072
141,B_16879,Pieridae,Coliadinae,,Zerene,cesonia,Zerene cesonia,1,325.050502,192,192,-0.773400109,-0.886740072
142,B_16859,Pieridae,Coliadinae,,Phoebis,sennae,Phoebis sennae,1,325.050502,192,192,-0.773400109,-0.886740072
143,B_16934,Pieridae,Dismorphiinae,,Leptidea,sinapis,Leptidea sinapis,1,325.050502,192,192,-0.773400109,-0.886740072
144,B_1193,Hesperiidae,Hesperiinae,Hesperiini,Hesperia,comma,Hesperia comma,2,431.785122,213.46856,213.46856,-0.63225935,-0.579194546
145,B_1223,Hesperiidae,Hesperiinae,Hesperiini,Hylephila,phyleus,Hylephila phyleus,2,431.785122,213.46856,213.46856,-0.63225935,-0.579194546
146,B_1327,Hesperiidae,Hesperiinae,Hesperiini,Poanes,zabulon,Poanes zabulon,2,431.785122,213.46856,213.46856,-0.63225935,-0.579194546
147,B_1017,Hesperiidae,Hesperiinae,Calpodini,Saliana,esperi,Saliana esperi,NA,NA,NA,NA,NA,NA
148,B_2190,Hesperiidae,Hesperiinae,Thymelicini,Thymelicus,sylvestris,Thymelicus sylvestris,1.5,371.961482,141.56124,141.56124,-1.577791809,-1.250123837
149,B_1564,Hesperiidae,Hesperiinae,Moncini,Cymaenes,tripunctus,Cymaenes tripunctus,NA,NA,NA,NA,NA,NA
150,B_1928,Hesperiidae,Hesperiinae,Moncini,Vettius,lafrenaye,Vettius lafrenaye,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
151,B_1649,Hesperiidae,Hesperiinae,Moncini,Lerema,accius,Lerema accius,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
152,B_751,Hesperiidae,Hesperiinae,Anthoptini,Anthoptus,epictetus,Anthoptus epictetus,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
153,B_2501,Hesperiidae,Hesperiinae,incertae sedis,Megathymus,yuccae,Megathymus yuccae,1,325.050132,135.10077,135.10077,-1.582455571,-1.616411111
154,B_880,Hesperiidae,Hesperiinae,Baorini,Pelopidas,mathias,Pelopidas mathias,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
155,B_2673,Hesperiidae,Hesperiinae,incertae sedis,Pyroneura,helena,Pyroneura helena,NA,NA,NA,NA,NA,NA
156,B_2239,Hesperiidae,Hesperiinae,incertae sedis,Ancistroides,gemmifer,Ancistroides gemmifer,1,325.050972,51.8437,51.8437,-2.303016405,-2.036770203
157,B_2031,Hesperiidae,Hesperiinae,Taractrocerini,Ocybadistes,flavovittata,Ocybadistes flavovittata,2,399.739132,149.376799,149.376799,-1.153918631,-1.171826712
158,B_2439,Hesperiidae,Hesperiinae,incertae sedis,Kedestes,callicles,Kedestes callicles,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
159,B_2281,Hesperiidae,Hesperiinae,incertae sedis,Astictopterus,punctulata,Astictopterus punctulata,2,431.785122,213.46856,213.46856,-0.700845279,-0.543394652
160,B_2475,Hesperiidae,Hesperiinae,incertae sedis,Leona,luehderi,Leona luehderi,NA,NA,NA,NA,NA,NA
161,B_2203,Hesperiidae,Hesperiinae,incertae sedis,Acleros,mackenii,Acleros mackenii,1,325.050502,192,192,-0.773400109,-0.886740072
162,B_2559,Hesperiidae,Hesperiinae,incertae sedis,Osmodes,thora,Osmodes thora,1,325.050952,54.2995,54.2995,-2.85844189,-4.234056668
163,,Hesperiidae,Hesperiinae,incertae sedis,Lepella,lepeletier,Lepella lepeletier,2,431.785142,213.46848,213.46848,-0.581284411,-0.607744219
164,B_679,Hesperiidae,Hesperiinae,Aeromachini,Halpe,porus,Halpe porus,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
165,B_4318,Hesperiidae,Trapezitinae,,Trapezites,petalia,Trapezites petalia,1,325.050132,135.10077,135.10077,-1.582455571,-1.616411111
166,B_2974,Hesperiidae,Heteropterinae,,Piruna,pirus,Piruna pirus,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
167,B_2927,Hesperiidae,Heteropterinae,,Heteropterus,morpheus,Heteropterus morpheus,2,418.872232,187.64298,187.64298,-1.155152917,-0.860297683
168,B_2984,Hesperiidae,Pyrginae,Achlyodini,Achlyodes,busirus,Achlyodes busirus,1,325.050502,99.499,99.499,-3.401095768,-1.627869293
169,B_3268,Hesperiidae,Pyrginae,Carcharodini,Spialia,dromus,Spialia dromus,1,325.050352,87.3223,87.3223,-2.053141496,-1.935153911
170,B_3845,Hesperiidae,Pyrginae,Pyrgini,Pyrgus,communis,Pyrgus communis,1,325.050645,76.7222,76.7222,-2.394140677,-1.80105635
171,B_3653,Hesperiidae,Pyrginae,Erynnini,Erynnis,tristis,Erynnis tristis,1,325.050552,142,142,-1.192269368,-1.440412843
172,B_4000,Hesperiidae,Pyrginae,Pyrrhopygini,Passova,gellias,Passova gellias,1,325.050687,102.1548,102.1548,-1.947204302,-1.635136076
173,B_3379,Hesperiidae,Pyrginae,Celaenorrhinini,Apallaga,galenus,Apallaga galenus,1,325.050502,192,192,-0.773400109,-0.886740072
174,B_4243,Hesperiidae,Pyrginae,Tagiadini,Tagiades,trebellius,Tagiades trebellius,1,325.050502,192,192,-0.773400109,-0.886740072
175,B_334,Hesperiidae,Eudaminae,,Epargyreus,clarus,Epargyreus clarus,1.5,378.421132,202.741545,202.741545,-0.669014316,-0.75902016
176,B_580,Hesperiidae,Eudamiinae,,Urbanus,proteus,Urbanus proteus,2,454.796967,259.49293,259.49293,-0.247684618,-0.1876242
177,B_602,Hesperiidae,Euschemoninae,,Euschemon,rafflesia,Euschemon rafflesia,1,325.050763,126.5599,126.5599,-1.590601811,-1.430985188
178,B_77,Hesperiidae,Coeliadinae,,Coeliades,forestan,Coeliades forestan,4.5,718.600331,235.148365,227.3266537,-0.586441576,-0.396195395
179,B_15,Hedylidae,,,Macrosoma,hyacinthina,Macrosoma hyacinthina,1,325.050645,76.7222,76.7222,-2.394140677,-1.80105635
180,B_33,Hedylidae,,,Macrosoma,stabilinota,Macrosoma stabilinota,1,325.050645,76.7222,76.7222,-2.394140677,-1.80105635
181,B_21,Hedylidae,,,Macrosoma,leucoplethes,Macrosoma leucoplethes,1,325.050645,76.7222,76.7222,-2.394140677,-1.80105635
182,B_16567,Papilionidae,Papilioninae,Troidini,Troides,helena,Troides helena,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
183,B_16542,Papilionidae,Papilioninae,Troidini,Parides,photinus,Parides photinus,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
184,B_16503,Papilionidae,Papilioninae,Troidini,Pachliopta,aristolochiae,Pachliopta aristolochiae,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
185,B_16494,Papilionidae,Papilioninae,Troidini,Battus,philenor,Battus philenor,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
186,B_16419,Papilionidae,Papilioninae,Papilionini,Papilio,xuthus,Papilio xuthus,1,325.050763,169.1905,169.1905,-1.018220449,-1.042107971
187,B_16311,Papilionidae,Papilioninae,Papilionini,Papilio,deiphobus,Papilio deiphobus,1,325.050763,169.1905,169.1905,-1.018220449,-1.042107971
188,B_16434,Papilionidae,Papilioninae,Papilionini,Pterourus,glaucus,Pterourus glaucus,1,325.050763,169.1905,169.1905,-1.018220449,-1.042107971
189,B_16453,Papilionidae,Papilioninae,Teinopalpini,Teinopalpus,imperialis,Teinopalpus imperialis,3,596.721405,271.7222633,271.6194327,0.006721476,0.377108625
190,B_16592,Papilionidae,Parnassiinae,Luehdorfiini,Luehdorfia,japonica,Luehdorfia japonica,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
191,B_16655,Papilionidae,Parnassinae,Zerynthiini,Zerynthia,cerisyi,Zerynthia cerisyi,1,325.05077,176.8466,176.8466,-1.152867074,-1.345817193
192,B_16599,Papilionidae,Parnassiinae,Parnassiini,Parnassius,apollo,Parnassius apollo,1,325.051262,119.0588,119.0588,-1.814390642,-1.762400846
193,B_16091,Papilionidae,Papilioninae,Leptocircini,Eurytides,marcellus,Eurytides marcellus,3,569.343092,253.4700013,235.1150007,-0.287273341,-0.315417732
194,B_16103,Papilionidae,Papilioninae,Leptocircini,Graphium,agamemnon,Graphium agamemnon,3,569.343092,253.4700013,235.1150007,-0.287273341,-0.315417732
195,B_16077,Papilionidae,Baroniinae,,Baronia,brevicornis,Baronia brevicornis,1,325.050502,192,192,-0.773400109,-0.886740072