Unique.ID,X,Book,Page.Number,Taxon,Family,Subfamily.or.Tribe,Genus,Genus.2,Species.Epithet,Subspecies,Authority,Common.name,Wing.Size,Wingspan..F.,Wingspan..M.,Wingspan..U.,Forewing.Length..F.,Forewing.Length..M.,Forewing.Length..U.,Distribution.Range,Elevation,Abundance,Flight.characteristics,Habitat,Oviposition,Hostplant.larval.food,Adult.food,Phenology.and.voltinism,Daily.or.circadian.patterns,Diapause,Mimicry,Defense.strategies,Adult.forms,Ant.associations,Mobility,Trait.Availability.and.Format.Comments,Flag.for.QA,QA.Comments,Author,Lab,Created,Updated,Additional.Data,Full.Species.Account,sp_ID
NA,NA,NA,NA,NA,NA,NA,Nepheronia,NA,pharis,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Colotis,NA,hetaera,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Pseudopontia,NA,paradoxa,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Erynnis,NA,tristis,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Pararge,NA,aegeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Junonia,NA,natalica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Kallima,NA,inachus,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Historis,NA,odius,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Curetis,NA,tagalica,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Euschemon,NA,rafflesia,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Zerynthia,NA,cerisyi,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Anartia,NA,fatima,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Brenthis,NA,daphne,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Libythea,NA,celtis,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Appias,NA,libythea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Anthocharis,NA,belia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Kedestes,NA,callicles,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Lepella,NA,lepeletier,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Morphopsis,NA,biakensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Calinaga,NA,buddha,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Neptis,NA,nata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Cethosia,NA,cyane,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Hamearis,NA,lucina,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Pontia,NA,beckerii,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Elodina,NA,angulipennis,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Saliana,NA,esperi,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Ancistroides,NA,gemmifer,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Ocybadistes,NA,flavovittata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Leona,NA,luehderi,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Halpe,NA,porus,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Heteropterus,NA,morpheus,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Baronia,NA,brevicornis,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Calisto,NA,obscura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Ragadia,NA,makuta,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Charaxes,NA,brutus,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Baeotis,NA,zonata,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Riodina,NA,lysippus,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Apodemia,NA,hypoglauca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Stalachtis,NA,euterpe,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Osmodes,NA,thora,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Trapezites,NA,petalia,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Piruna,NA,pirus,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Luehdorfia,NA,japonica,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Prepona,NA,dexamenus,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Diaethria,NA,anna,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Euphaedra,NA,acuta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Heliconius,NA,melpomene,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Dapidodigma,NA,hymen,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Drina,NA,cowani,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Sarota,NA,gamelia,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Calydna,NA,nicolayi,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Eurybia,NA,nicaeus,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Euselasia,NA,euromus,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Pyroneura,NA,helena,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Astictopterus,NA,punctulata,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Parides,NA,photinus,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Polyommatus,NA,icarus,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Cigaritis,NA,lohita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Deudorix,NA,epijarbas,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Drupadia,NA,ravindra,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Remelana,NA,jangala,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Anthene,NA,emolus,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Hypolycaena,NA,phorbas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Iraota,NA,timoleon,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Arhopala,NA,micale,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Loxura,NA,atymnus,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Taraka,NA,hamada,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Zesius,NA,chrysomallus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Abisara,NA,echerius,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Horaga,NA,onyx,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Allotinus,NA,unicolor,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Hemiargus,NA,hanno,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Niphanda,NA,fusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Spalgis,NA,epeus,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Ogyris,NA,amaryllis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Catapaecilma,NA,major,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Nymphidium,NA,onaeum,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Jalmenus,NA,evagoras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Theope,NA,virgilius,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Neomyrina,NA,nivea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Lachnocnema,NA,durbani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Lycaena,NA,helloides,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Tomares,NA,ballus,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Pseudalmenus,NA,chlorinda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Eumaeus,NA,atala,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Semanga,NA,superba,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Mesene,NA,phareus,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Candalides,NA,geminus,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Lepidochrysops,NA,patricia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Lucia,NA,limbaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Artopoetes,NA,pryeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Pentila,NA,pauli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Liphyra,NA,brassolis,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Poritia,NA,erycinoides,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Hemiolaus,NA,caeculus,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Cupidopsis,NA,cissus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Iolaus,NA,sidus,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Mesosemia,NA,lamachus,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Amblypodia,NA,narada,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
,,,,,,,,,,,,,132,14,15,83,30,33,30,182,53,92,65,110,51,111,66,90,13,24,10,33,47,10,10,0,132,5,132,132,132,132,1,114,192