ntaxa	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	runs
Abaeis nicippe	1	NA	NA	NA	NA	NA	NA	99
Abananote abana	0	NA	NA	NA	NA	NA	NA	99
Abantis tettensis	1	NA	NA	NA	NA	NA	NA	99
Abisara bifasciata	1	NA	NA	NA	NA	NA	NA	99
Abisara burnii	1	NA	NA	NA	NA	NA	NA	99
Abisara geza	0	NA	NA	NA	NA	NA	NA	99
Abisara kausambi	0	NA	NA	NA	NA	NA	NA	99
Abraximorpha davidii	1	NA	NA	NA	NA	NA	NA	99
Abrota ganga	0	NA	NA	NA	NA	NA	NA	99
Acada biseriata	1	NA	NA	NA	NA	NA	NA	99
Achalarus casica	0	NA	NA	NA	NA	NA	NA	99
Achalarus lyciades	1	NA	NA	NA	NA	NA	NA	99
Achalarus toxeus	1	NA	NA	NA	NA	NA	NA	99
Achlyodes busirus	1	NA	NA	NA	NA	NA	NA	99
Achlyodes pallida	0	NA	NA	NA	NA	NA	NA	99
Acleros ploetzi	0	NA	NA	NA	NA	NA	NA	99
Acraea horta	2	188.72406	261.364770707071	72.8415356128853	3	-0.9972429891253	0.03	99
Acrodipsas myrmecophila	0	NA	NA	NA	NA	NA	NA	99
Acrophtalmia artemis	0	NA	NA	NA	NA	NA	NA	99
Acrophtalmia leuce	0	NA	NA	NA	NA	NA	NA	99
Acytolepis puspa	12	234.85079380303	270.172983345577	36.7084081753585	1	-0.962237026836202	0.01	99
Adelpha mesentina	0	NA	NA	NA	NA	NA	NA	99
Adopaeoides prittwitzi	0	NA	NA	NA	NA	NA	NA	99
Aemona amathusia	0	NA	NA	NA	NA	NA	NA	99
Aeria eurimedia	1	NA	NA	NA	NA	NA	NA	99
Aeromachus stigmata	0	NA	NA	NA	NA	NA	NA	99
Aeropetes tulbaghia	1	NA	NA	NA	NA	NA	NA	99
Aethiopana honorius	0	NA	NA	NA	NA	NA	NA	99
Afarsia morgiana	0	NA	NA	NA	NA	NA	NA	99
Afrodryas leda	2	133.2723	278.782822676768	114.623529654315	2	-1.2694646824749	0.02	99
Agatasa calydonia	0	NA	NA	NA	NA	NA	NA	99
Agathymus aryxna	1	NA	NA	NA	NA	NA	NA	99
Agathymus mariae	0	NA	NA	NA	NA	NA	NA	99
Aglais io	2	146.93759	281.91332330303	112.122119732488	2	-1.20382787647138	0.02	99
Aglais urticae	2	146.93759	281.91332330303	112.122119732488	2	-1.20382787647138	0.02	99
Agraulis vanillae	1	NA	NA	NA	NA	NA	NA	99
Agriades optilete	1	NA	NA	NA	NA	NA	NA	99
Aguna asander	1	NA	NA	NA	NA	NA	NA	99
Aguna claxon	0	NA	NA	NA	NA	NA	NA	99
Aguna metophis	0	NA	NA	NA	NA	NA	NA	99
Ahmetia achaja	0	NA	NA	NA	NA	NA	NA	99
Aides duma	0	NA	NA	NA	NA	NA	NA	99
Alaena amazoula	0	NA	NA	NA	NA	NA	NA	99
Alenia namaqua	0	NA	NA	NA	NA	NA	NA	99
Allora major	0	NA	NA	NA	NA	NA	NA	99
Allotinus fallax	0	NA	NA	NA	NA	NA	NA	99
Allotinus unicolor	0	NA	NA	NA	NA	NA	NA	99
Aloeides pierus	1	NA	NA	NA	NA	NA	NA	99
Alpherakya sarta	0	NA	NA	NA	NA	NA	NA	99
Altinote neleus	0	NA	NA	NA	NA	NA	NA	99
Altinote tenebrosa	0	NA	NA	NA	NA	NA	NA	99
Altopedaliodes tena	0	NA	NA	NA	NA	NA	NA	99
Amathusia phidippus	2	196.4188	267.896797373737	92.956633352693	6	-0.768939179440137	0.06	99
Amauris niavius	1	NA	NA	NA	NA	NA	NA	99
Amblopala avidiena	1	NA	NA	NA	NA	NA	NA	99
Amblypodia narada	0	NA	NA	NA	NA	NA	NA	99
Amblyscirtes eos	0	NA	NA	NA	NA	NA	NA	99
Amblyscirtes simius	1	NA	NA	NA	NA	NA	NA	99
Amnosia decora	0	NA	NA	NA	NA	NA	NA	99
Ampittia dioscorides	1	NA	NA	NA	NA	NA	NA	99
Ampittia virgata	0	NA	NA	NA	NA	NA	NA	99
Anaea troglodyta	1	NA	NA	NA	NA	NA	NA	99
Anartia jatrophae	6	150.7874598	279.228274558249	59.2635177078625	1	-2.16728300522749	0.01	99
Anastrus sempiternus	1	NA	NA	NA	NA	NA	NA	99
Anatrytone logan	1	NA	NA	NA	NA	NA	NA	99
Ancema ctesia	1	NA	NA	NA	NA	NA	NA	99
Ancistroides gemmifer	1	NA	NA	NA	NA	NA	NA	99
Ancyloxypha numitor	1	NA	NA	NA	NA	NA	NA	99
Andronymus neander	1	NA	NA	NA	NA	NA	NA	99
Anetia briarea	0	NA	NA	NA	NA	NA	NA	99
Anetia thirza	0	NA	NA	NA	NA	NA	NA	99
Anisynta cynone	1	NA	NA	NA	NA	NA	NA	99
Anisynta dominula	1	NA	NA	NA	NA	NA	NA	99
Anisynta tillyardi	1	NA	NA	NA	NA	NA	NA	99
Ankola fan	0	NA	NA	NA	NA	NA	NA	99
Antanartia delius	1	NA	NA	NA	NA	NA	NA	99
Anteos maerula	1	NA	NA	NA	NA	NA	NA	99
Anteros formosus	2	184.52815	277.455673060606	96.5255238119641	1	-0.962724877221416	0.01	99
Anthanassa texana	1	NA	NA	NA	NA	NA	NA	99
Anthene larydas	2	231.571925	263.757913505051	83.8779383787789	12	-0.383724124926675	0.12	99
Anthocharis belia	1	NA	NA	NA	NA	NA	NA	99
Anthocharis cardamines	1	NA	NA	NA	NA	NA	NA	99
Anthoptus epictetus	0	NA	NA	NA	NA	NA	NA	99
Antigius attilia	1	NA	NA	NA	NA	NA	NA	99
Antillea pelops	0	NA	NA	NA	NA	NA	NA	99
Antipodia atralba	1	NA	NA	NA	NA	NA	NA	99
Antipodia chaostola	1	NA	NA	NA	NA	NA	NA	99
Antirrhea philaretes	1	NA	NA	NA	NA	NA	NA	99
Apallaga opalinus	0	NA	NA	NA	NA	NA	NA	99
Apatura metis	1	NA	NA	NA	NA	NA	NA	99
Apaturina erminia	1	NA	NA	NA	NA	NA	NA	99
Apaturopsis cleochares	0	NA	NA	NA	NA	NA	NA	99
Aphantopus hyperantus	2	187.64298	267.673879858586	81.5112113976502	3	-0.981839166494009	0.03	99
Aphnaeus orcas	4	241.382902166667	272.415070321549	67.5608826470424	22	-0.459321532505773	0.22	99
Aphrissa boisduvalii	0	NA	NA	NA	NA	NA	NA	99
Aphrissa statira	1	NA	NA	NA	NA	NA	NA	99
Aphysoneura pigmentaria	1	NA	NA	NA	NA	NA	NA	99
Apodemia chisosensis	1	NA	NA	NA	NA	NA	NA	99
Apodemia duryi	0	NA	NA	NA	NA	NA	NA	99
Apodemia hepburni	0	NA	NA	NA	NA	NA	NA	99
Apodemia mormo	1	NA	NA	NA	NA	NA	NA	99
Apodemia murphyi	0	NA	NA	NA	NA	NA	NA	99
Apodemia palmerii	1	NA	NA	NA	NA	NA	NA	99
Aponarope sutor	0	NA	NA	NA	NA	NA	NA	99
Aporia agathon	1	NA	NA	NA	NA	NA	NA	99
Aporia crataegi	1	NA	NA	NA	NA	NA	NA	99
Apostictopterus fuliginosus	0	NA	NA	NA	NA	NA	NA	99
Appias lasti	3	224.200098666667	265.46710949495	52.4256263609763	2	-0.787153415090152	0.02	99
Appias libythea	3	84.4834466666667	260.168685265993	48.6745631891108	1	-3.60938500704676	0.01	99
Appias paulina	2	237.157932	267.286768575758	69.935385409909	15	-0.430809616607742	0.15	99
Apyrrothrix araxes	0	NA	NA	NA	NA	NA	NA	99
Araotes lapithis	0	NA	NA	NA	NA	NA	NA	99
Araragi enthea	2	195.75903	258.634033626263	73.385221341989	5	-0.856780186479962	0.05	99
Araschnia levana	1	NA	NA	NA	NA	NA	NA	99
Arawacus aetolus	0	NA	NA	NA	NA	NA	NA	99
Arcas imperialis	0	NA	NA	NA	NA	NA	NA	99
Archaeoprepona demophon	2	255.403303	263.434485090909	75.3556468096066	48	-0.106577044069447	0.48	99
Archaeoprepona meander	1	NA	NA	NA	NA	NA	NA	99
Archon apollinus	1	NA	NA	NA	NA	NA	NA	99
Archonias brassolis	0	NA	NA	NA	NA	NA	NA	99
Arethusana arethusa	1	NA	NA	NA	NA	NA	NA	99
Argon lota	0	NA	NA	NA	NA	NA	NA	99
Argynnina cyrila	1	NA	NA	NA	NA	NA	NA	99
Argynnis aglaja	2	247.468926	272.780180232323	98.5492697114509	44	-0.256838577357638	0.44	99
Argynnis anadyomene	1	NA	NA	NA	NA	NA	NA	99
Argynnis hyperbius	1	NA	NA	NA	NA	NA	NA	99
Argynnis laodice	1	NA	NA	NA	NA	NA	NA	99
Argynnis nerippe	1	NA	NA	NA	NA	NA	NA	99
Argynnis paphia	2	231.572306	271.394319444444	102.165830104942	15	-0.389778200828403	0.15	99
Argynnis sagana	1	NA	NA	NA	NA	NA	NA	99
Argyraspodes argyraspis	0	NA	NA	NA	NA	NA	NA	99
Argyrophorus argenteus	0	NA	NA	NA	NA	NA	NA	99
Arhopala bazalus	1	NA	NA	NA	NA	NA	NA	99
Arhopala muta	0	NA	NA	NA	NA	NA	NA	99
Arhopala thamyras	0	NA	NA	NA	NA	NA	NA	99
Ariadne ariadne	1	NA	NA	NA	NA	NA	NA	99
Aricia agestis	2	233.987083	262.599488666667	72.0105516262436	16	-0.397336293369528	0.16	99
Arita arita	0	NA	NA	NA	NA	NA	NA	99
Aroma aroma	0	NA	NA	NA	NA	NA	NA	99
Arotis derasa	0	NA	NA	NA	NA	NA	NA	99
Arrhenes dschilus	1	NA	NA	NA	NA	NA	NA	99
Arrhenes marnas	1	NA	NA	NA	NA	NA	NA	99
Arteurotia tractipennis	0	NA	NA	NA	NA	NA	NA	99
Artipe eryx	1	NA	NA	NA	NA	NA	NA	99
Artitropa comus	1	NA	NA	NA	NA	NA	NA	99
Artitropa erinnys	1	NA	NA	NA	NA	NA	NA	99
Artopoetes pryeri	1	NA	NA	NA	NA	NA	NA	99
Asbolis capucinus	1	NA	NA	NA	NA	NA	NA	99
Ascia monuste	5	130.607604	269.070029539394	50.9480673179339	1	-2.71771693861005	0.01	99
Aslauga marshalli	0	NA	NA	NA	NA	NA	NA	99
Aspitha aspitha	0	NA	NA	NA	NA	NA	NA	99
Asterocampa celtis	1	NA	NA	NA	NA	NA	NA	99
Asterope markii	0	NA	NA	NA	NA	NA	NA	99
Astictopterus jama	1	NA	NA	NA	NA	NA	NA	99
Astraptes alector	0	NA	NA	NA	NA	NA	NA	99
Astraptes anaphus	1	NA	NA	NA	NA	NA	NA	99
Astraptes enotrus	0	NA	NA	NA	NA	NA	NA	99
Astraptes talus	2	237.158172	284.299202565657	115.159658987447	22	-0.409353683226825	0.22	99
Atalopedes campestris	1	NA	NA	NA	NA	NA	NA	99
Atarnes sallei	0	NA	NA	NA	NA	NA	NA	99
Aterica rabena	0	NA	NA	NA	NA	NA	NA	99
Athyma perius	1	NA	NA	NA	NA	NA	NA	99
Atlantea perezi	0	NA	NA	NA	NA	NA	NA	99
Atlides halesus	1	NA	NA	NA	NA	NA	NA	99
Atrophaneura alcinous	1	NA	NA	NA	NA	NA	NA	99
Atrophaneura coon	0	NA	NA	NA	NA	NA	NA	99
Atrophaneura neptunus	0	NA	NA	NA	NA	NA	NA	99
Atrophaneura semperi	1	NA	NA	NA	NA	NA	NA	99
Atrytone arogos	1	NA	NA	NA	NA	NA	NA	99
Atrytonopsis hianna	1	NA	NA	NA	NA	NA	NA	99
Aubergina alda	0	NA	NA	NA	NA	NA	NA	99
Augiades crinisus	0	NA	NA	NA	NA	NA	NA	99
Autochton cellus	1	NA	NA	NA	NA	NA	NA	99
Axiocerses harpax	1	NA	NA	NA	NA	NA	NA	99
Azanus mirza	2	237.158162	272.67840549495	99.7738092199432	22	-0.356007691524015	0.22	99
Azanus natalensis	1	NA	NA	NA	NA	NA	NA	99
Azanus ubaldus	1	NA	NA	NA	NA	NA	NA	99
Badamia exclamationis	3	244.031905333333	277.853596801347	82.2957542504873	25	-0.410977355709857	0.25	99
Baliochila barnesi	0	NA	NA	NA	NA	NA	NA	99
Baoris farri	1	NA	NA	NA	NA	NA	NA	99
Baoris oceia	1	NA	NA	NA	NA	NA	NA	99
Baracus vittatus	1	NA	NA	NA	NA	NA	NA	99
Baronia brevicornis	0	NA	NA	NA	NA	NA	NA	99
Batesia hypochlora	0	NA	NA	NA	NA	NA	NA	99
Battus belus	0	NA	NA	NA	NA	NA	NA	99
Battus polydamas	1	NA	NA	NA	NA	NA	NA	99
Bebearia sophus	2	224.682142	267.923414494949	80.7642502694729	7	-0.535401150269747	0.07	99
Belenois calypso	1	NA	NA	NA	NA	NA	NA	99
Belenois creona	3	190.498088666667	263.810996397306	54.4973179460093	1	-1.34525717033031	0.01	99
Belenois java	1	NA	NA	NA	NA	NA	NA	99
Belenois subeida	1	NA	NA	NA	NA	NA	NA	99
Berberia abdelkader	1	NA	NA	NA	NA	NA	NA	99
Bhagadatta austenia	0	NA	NA	NA	NA	NA	NA	99
Bhutanitis mansfieldi	1	NA	NA	NA	NA	NA	NA	99
Bhutanitis thaidina	1	NA	NA	NA	NA	NA	NA	99
Bia actorion	0	NA	NA	NA	NA	NA	NA	99
Bibasis sena	2	237.157608	281.130149121212	104.266013410865	14	-0.421734174758714	0.14	99
Biblis hyperia	1	NA	NA	NA	NA	NA	NA	99
Bicyclus anynana	1	NA	NA	NA	NA	NA	NA	99
Bindahara phocides	1	NA	NA	NA	NA	NA	NA	99
Boloria pales	1	NA	NA	NA	NA	NA	NA	99
Borbo borbonica	1	NA	NA	NA	NA	NA	NA	99
Borbo cinnara	1	NA	NA	NA	NA	NA	NA	99
Brassolis sophorae	2	196.4188	267.896797373737	92.956633352693	6	-0.768939179440137	0.06	99
Brenthis daphne	2	231.572306	271.394319444444	102.165830104942	15	-0.389778200828403	0.15	99
Brenthis ino	2	231.572306	271.394319444444	102.165830104942	15	-0.389778200828403	0.15	99
Brephidium exilis	3	218.399866666667	273.687712531987	79.9653237927568	4	-0.691397761467301	0.04	99
Brevioleria arzalia	0	NA	NA	NA	NA	NA	NA	99
Brintesia circe	1	NA	NA	NA	NA	NA	NA	99
Bungalotis astylos	0	NA	NA	NA	NA	NA	NA	99
Bungalotis erythus	0	NA	NA	NA	NA	NA	NA	99
Burara harisa	2	271.51699	291.012106111111	123.723735128832	66	-0.157569734625381	0.66	99
Burara oedipodea	2	237.157608	281.130149121212	104.266013410865	14	-0.421734174758714	0.14	99
Burmaozephyrus kothayaungi	0	NA	NA	NA	NA	NA	NA	99
Butleria flavomaculatus	0	NA	NA	NA	NA	NA	NA	99
Byblia anvatara	1	NA	NA	NA	NA	NA	NA	99
Byblia ilithyia	1	NA	NA	NA	NA	NA	NA	99
Cabares potrillo	0	NA	NA	NA	NA	NA	NA	99
Cacyreus lingeus	2	247.46905	278.347127727273	106.538038728117	34	-0.289831482688291	0.34	99
Caenides dacela	1	NA	NA	NA	NA	NA	NA	99
Calephelis nemesis	2	263.36208	284.433487383838	111.014177867314	51	-0.189808255023276	0.51	99
Calephelis perditalis	1	NA	NA	NA	NA	NA	NA	99
Calephelis virginiensis	1	NA	NA	NA	NA	NA	NA	99
Caleta caleta	1	NA	NA	NA	NA	NA	NA	99
Caligo eurilochus	1	NA	NA	NA	NA	NA	NA	99
Calinaga buddha	1	NA	NA	NA	NA	NA	NA	99
Calleagris jamesoni	0	NA	NA	NA	NA	NA	NA	99
Callerebia annada	0	NA	NA	NA	NA	NA	NA	99
Callicore astarte	0	NA	NA	NA	NA	NA	NA	99
Callithomia lenea	1	NA	NA	NA	NA	NA	NA	99
Callophrys rubi	4	231.85641	272.667662734007	67.1224536837595	10	-0.608011931838558	0.1	99
Calpodes ethlius	2	76.4774	275.317104343434	99.0848990365013	1	-2.00676093205873	0.01	99
Caltoris cormasa	0	NA	NA	NA	NA	NA	NA	99
Calycopis cecrops	5	229.0363418	276.066730313131	63.2248400117913	6	-0.743859351868036	0.06	99
Calydna sturnula	0	NA	NA	NA	NA	NA	NA	99
Candalides xanthospilos	1	NA	NA	NA	NA	NA	NA	99
Caprona pillaana	1	NA	NA	NA	NA	NA	NA	99
Capronnieria galesus	0	NA	NA	NA	NA	NA	NA	99
Capys alpheus	1	NA	NA	NA	NA	NA	NA	99
Carcharodus alceae	1	NA	NA	NA	NA	NA	NA	99
Carcharodus lavatherae	0	NA	NA	NA	NA	NA	NA	99
Caria ino	1	NA	NA	NA	NA	NA	NA	99
Caria mantinea	0	NA	NA	NA	NA	NA	NA	99
Carrhenes canescens	0	NA	NA	NA	NA	NA	NA	99
Carterocephalus palaemon	1	NA	NA	NA	NA	NA	NA	99
Carystus phorcus	0	NA	NA	NA	NA	NA	NA	99
Cassionympha cassius	2	187.64228	260.370211767677	59.0303678546364	2	-1.23204266567965	0.02	99
Castalius rosimon	1	NA	NA	NA	NA	NA	NA	99
Catacroptera cloanthe	2	179.50233	279.879114	104.018160224498	1	-0.96499287992944	0.01	99
Catapaecilma elegans	1	NA	NA	NA	NA	NA	NA	99
Catapaecilma major	1	NA	NA	NA	NA	NA	NA	99
Catasticta nimbice	0	NA	NA	NA	NA	NA	NA	99
Catochrysops strabo	2	237.158162	272.67840549495	99.7738092199432	22	-0.356007691524015	0.22	99
Catonephele numilia	1	NA	NA	NA	NA	NA	NA	99
Catopsilia scylla	1	NA	NA	NA	NA	NA	NA	99
Catopyrops ancyra	3	229.515443333333	280.315497508418	83.9100430508876	10	-0.605410893953139	0.1	99
Celaenorrhinus aurivittata	0	NA	NA	NA	NA	NA	NA	99
Celaenorrhinus leucocera	1	NA	NA	NA	NA	NA	NA	99
Celaenorrhinus patula	0	NA	NA	NA	NA	NA	NA	99
Celastrina argiolus	6	235.174296666667	268.623542313805	50.2359308186038	6	-0.665843055002195	0.06	99
Celotes nessus	1	NA	NA	NA	NA	NA	NA	99
Cephrenes augiades	1	NA	NA	NA	NA	NA	NA	99
Cepora nerissa	1	NA	NA	NA	NA	NA	NA	99
Ceratinia neso	0	NA	NA	NA	NA	NA	NA	99
Ceratrichia phocion	0	NA	NA	NA	NA	NA	NA	99
Cerautola ceraunia	0	NA	NA	NA	NA	NA	NA	99
Cercyonis oetus	1	NA	NA	NA	NA	NA	NA	99
Cercyonis pegala	1	NA	NA	NA	NA	NA	NA	99
Cethosia biblis	1	NA	NA	NA	NA	NA	NA	99
Cethosia cydippe	1	NA	NA	NA	NA	NA	NA	99
Chaetocneme critomedia	3	266.351302666667	266.534648154882	64.5289872823834	86	-0.0028412887903098	0.86	99
Chaetoprocta odata	1	NA	NA	NA	NA	NA	NA	99
Chalinga elwesi	1	NA	NA	NA	NA	NA	NA	99
Chalodeta lypera	1	NA	NA	NA	NA	NA	NA	99
Chalybs janias	0	NA	NA	NA	NA	NA	NA	99
Charana mandarinus	0	NA	NA	NA	NA	NA	NA	99
Charaxes bernardus	3	260.269064666667	275.156930424242	78.4515173264603	66	-0.189771546363123	0.66	99
Charaxes brutus	4	214.467695	276.706680010101	73.3592120922587	5	-0.848414033289063	0.05	99
Charaxes contrarius	1	NA	NA	NA	NA	NA	NA	99
Charaxes jasius	7	246.909314190476	269.472802219336	45.7197627070236	28	-0.493517172725697	0.28	99
Charaxes varanes	2	159.835339	285.700638737374	111.138251363192	2	-1.13251106791355	0.02	99
Charaxes zoolina	1	NA	NA	NA	NA	NA	NA	99
Charis anius	1	NA	NA	NA	NA	NA	NA	99
Chazara briseis	1	NA	NA	NA	NA	NA	NA	99
Cheritra freja	3	260.269678	272.673630680135	74.8636120432166	61	-0.165687339170521	0.61	99
Chersonesia rahria	1	NA	NA	NA	NA	NA	NA	99
Chilades lajus	2	237.157242	278.227856585859	104.618671119029	17	-0.392574424302626	0.17	99
Chillanella stelligera	0	NA	NA	NA	NA	NA	NA	99
Chioides albofasciatus	1	NA	NA	NA	NA	NA	NA	99
Chioides catillus	1	NA	NA	NA	NA	NA	NA	99
Chiomara asychis	1	NA	NA	NA	NA	NA	NA	99
Chiomara georgina	1	NA	NA	NA	NA	NA	NA	99
Chiomara mithrax	0	NA	NA	NA	NA	NA	NA	99
Chitoria chrysolora	1	NA	NA	NA	NA	NA	NA	99
Chloreuptychia arnaca	1	NA	NA	NA	NA	NA	NA	99
Chloroselas esmeralda	0	NA	NA	NA	NA	NA	NA	99
Chloroselas pseudozeritis	1	NA	NA	NA	NA	NA	NA	99
Chlorostrymon simaethis	2	247.469212	268.572706090909	96.4869553318002	32	-0.218718623863072	0.32	99
Chlosyne janais	1	NA	NA	NA	NA	NA	NA	99
Choaspes benjaminii	1	NA	NA	NA	NA	NA	NA	99
Chondrolepis niveicornis	1	NA	NA	NA	NA	NA	NA	99
Choranthus haitensis	0	NA	NA	NA	NA	NA	NA	99
Choranthus radians	0	NA	NA	NA	NA	NA	NA	99
Chorinea licursis	0	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum perniciosus	0	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum pervivax	0	NA	NA	NA	NA	NA	NA	99
Chrysoritis oreas	0	NA	NA	NA	NA	NA	NA	99
Chrysozephyrus ataxus	1	NA	NA	NA	NA	NA	NA	99
Chrysozephyrus smaragdina	2	222.29702	256.84510059596	61.5203619132287	11.5	-0.561571478475499	0.115	99
Cigaritis takanonis	0	NA	NA	NA	NA	NA	NA	99
Cigaritis zohra	0	NA	NA	NA	NA	NA	NA	99
Cirrochroa aoris	1	NA	NA	NA	NA	NA	NA	99
Cirrochroa orissa	0	NA	NA	NA	NA	NA	NA	99
Cissia confusa	3	207.785106666667	266.198755474747	63.4256895759875	1	-0.920977748899333	0.01	99
Cissia labe	1	NA	NA	NA	NA	NA	NA	99
Cissia myncea	0	NA	NA	NA	NA	NA	NA	99
Cissia palladia	1	NA	NA	NA	NA	NA	NA	99
Cissia penelope	1	NA	NA	NA	NA	NA	NA	99
Citrinophila erastus	0	NA	NA	NA	NA	NA	NA	99
Cobalus calvina	0	NA	NA	NA	NA	NA	NA	99
Codatractus alcaeus	1	NA	NA	NA	NA	NA	NA	99
Codatractus arizonensis	0	NA	NA	NA	NA	NA	NA	99
Codatractus valeriana	0	NA	NA	NA	NA	NA	NA	99
Coeliades forestan	5	240.2837138	274.147696549495	61.2742602188349	23	-0.552662449592261	0.23	99
Coeliades ramanatek	0	NA	NA	NA	NA	NA	NA	99
Coelites nothis	0	NA	NA	NA	NA	NA	NA	99
Coenonympha pamphilus	1	NA	NA	NA	NA	NA	NA	99
Coenyra hebe	0	NA	NA	NA	NA	NA	NA	99
Cogia calchas	1	NA	NA	NA	NA	NA	NA	99
Cogia hippalus	0	NA	NA	NA	NA	NA	NA	99
Colias croceus	1	NA	NA	NA	NA	NA	NA	99
